;hsa;hsb;hsc;hsl;dis a b;dis a c;dis a l;dis b c;dis b l;dis c l
2515;uil guͦt andaht ſi gewan;vil guͦt andaht ſi gewan;;;0,04;1,0;1,0;1,0;1,0;1,0
2516;die hende erhuͦb ſi diche;Die hende vf ſi dicche;;;0,32;1,0;1,0;1,0;1,0;1,0
2517;mit manigem ouf pliche;mit manigem vf plicche;;;0,14;1,0;1,0;1,0;1,0;1,0
2518;ʒe himel als ain revwik weip;ze h imel als ein riwich wiͤp;Wan der wirt vn̄ ſin wip;;0,31;0,71;1,0;0,69;1,0;1,0
2519;vmbe ir liebeſ manneſ leip;vm ir lieben mannes liͤp;Si klegte harte irn lip;;0,23;0,73;1,0;0,71;1,0;1,0
2520;;;Vmb irn vil lieben man;;1,0;1,0;1,0;1,0;1,0;1,0
2521;;;Si geloͮbte doch ſtarche dar an;;1,0;1,0;1,0;1,0;1,0;1,0
2522;ob in got neren wolde;Daz in got neren wolte;Das er geneſen ſolte;;0,18;0,52;1,0;0,36;1,0;1,0
2523;do gie ſi vn̄ holde;nv gie ſi vn̄ holte;Sus gie ſi hin vnd holte;;0,16;0,38;1,0;0,33;1,0;1,0
2524;all͛ ſalben beſte;Aller ſalben beſte;Aller ſalben beſte;;0,17;0,17;1,0;0,0;1,0;1,0
2525;ir geloube was veſte;ir gelovb was vil veſte;Ir geloͮbe der wc ueſte;;0,26;0,39;1,0;0,43;1,0;1,0
2526;ob ſi in da mit beſtriche;Ob ſi in da mit beſtriche;Ob ſi in da mitte beſtriche;;0,04;0,11;1,0;0,07;1,0;1,0
2527;daʒ im ſin not entwiche;daz im div not entwiche;Dc im div not entwiche;;0,13;0,22;1,0;0,13;1,0;1,0
2528;an diſem dinge erſchain;;Her an vil wolleclich erſchain;;1,0;0,57;1,0;1,0;1,0;1,0
2529;d͛ groʒʒen goteſ genaden ain;;D͛ ſtarche gottes genaden ain;;1,0;0,34;1,0;1,0;1,0;1,0
2530;Als man an dem buͦche liſet;;Alſ man noch an dē buͦchē liſet;;1,0;0,24;1,0;1,0;1,0;1,0
2531;daʒ ofte ain vbel man geniſet;;Dc dike ain ivbel man geniſet;;1,0;0,24;1,0;1,0;1,0;1,0
2532;von ſines weibeſ guͤte;;Von ſines wibes guͤte;;1,0;0,14;1,0;1,0;1,0;1,0
2533;iſt auer ſi miſſemuͤte;;Iſt ab͛ ſi miſſemuͤte;;1,0;0,18;1,0;1,0;1,0;1,0
2534;vn̄ d͛ man frume vn̄ guͦt;;Vnd iſt er biderb vnd guͦt;;1,0;0,58;1,0;1,0;1,0;1,0
2535;got ir durch in genade tuͦt;;Dc ir got durch ir gnade tuͦt;;1,0;0,31;1,0;1,0;1,0;1,0
2536;Do ſi div puhſen hete braht;Nu ſi die ſalben het bracht;nu ſi die ſalbun hate braht;;0,33;0,33;1,0;0,19;1,0;1,0
2537;ſi ſtraich mit guͦt͛ andaht;ſi ſtræich mit gut͛ andacht;Sie ſtrach ſi mit groſſer andaht;;0,11;0,38;1,0;0,44;1,0;1,0
2538;dem manne die wunden;Den man indie wunden;Dem wirte in ſin wnden;;0,25;0,5;1,0;0,45;1,0;1,0
2539;er wart in churʒen ſtunden;nu wart er inchurzen ſtunden;Do wart er ſa ʒeſtunden;;0,25;0,38;1,0;0,39;1,0;1,0
2540;ganʒ vnde maſelen hail;Ganz vn̄ ane maſen hæil;Ganʒ vn̄ ane maſen hail;;0,39;0,3;1,0;0,09;1,0;1,0
2541;im enſwar den hein tail;in ſwar ninder ein tæil;Im ſwar nienrgunt de kain tail;;0,39;0,47;1,0;0,43;1,0;1,0
2542;weder fuͤzze noch hant;Weder fvz noch hant;Wed͛ fuͦs noch hant;;0,23;0,32;1,0;0,26;1,0;1,0
2543;vn̄ als ſchier er deſ enpfant;als iener des enphant;Alſ ſchiere er des enpfant;;0,38;0,28;1,0;0,35;1,0;1,0
2544;frolich er ouf ſprank;Vroͤlich er vf ſpranc;Vroͤlich er vf ſpranck;;0,24;0,23;1,0;0,05;1,0;1,0
2545;er ſprach nv hab imm͛ dank;ſih hab immer danc;Er ſprach hab iem͛ dank;;0,5;0,19;1,0;0,48;1,0;1,0
2546;vrowe du haſt mich ernert;FFrowe daz dv mih haſt ernert;Dc du mich ſo gaͤheſ haſt ernert;;0,45;0,62;1,0;0,53;1,0;1,0
2547;vn̄ dem grimmē todͤ erwert;vn̄ dem grimme tod erwert;Vnd dem grimmen tot ernͮert;;0,07;0,26;1,0;0,22;1,0;1,0
2548;wan ich was ovf den tot erſlagen;Wan ih wærlich was erſlagen;Wan ich wc endelich erſlagen;;0,47;0,38;1,0;0,39;1,0;1,0
2549;ſi ſp̃ch dv ſolt genade ſagen;ſi ſprach dv haſt genade ſagen;Si ſprach du ſolt es gotte gnade ſagē;;0,17;0,34;1,0;0,37;1,0;1,0
2550;gote d͛ dich ernert hat;Gote der dich erloͤſet hat;D͛ iſt der dich generet hat;;0,31;0,41;1,0;0,44;1,0;1,0
2551;vnſer leben in ſinen handen ſtat;vnſer dinch inſeinē handē ſtat;Vͥns͛ leben in ſinan handen ſtat;;0,28;0,19;1,0;0,47;1,0;1,0
2552;von dem piſt dv geneſen;Er iſt dein arzt geweſen;D͛ iſt din arʒat hie geweſen;;0,62;0,57;1,0;0,32;1,0;1,0
2553;d͛ iſt din arʒet geweſen;dv biſt benamen vō im geneſen;Vn̄ biſt vō ſinē genaden geneſen;;0,5;0,53;1,0;0,53;1,0;1,0
2554;Nv wart div ture ovf getan;Nv wart div tvr vͦf getan;duͥ tuͥr wc gahes vf getan;;0,15;0,58;1,0;0,62;1,0;1,0
2555;vn̄ mit frevden in ver lan;vn̄ iene mit vrivdē in v͛lan;Vnd mit vroͤden vf getan;;0,38;0,42;1,0;0,52;1,0;1,0
2556;die man æ waininde ouʒ traip;Die man e wæinunde vz træip;Die man e wainende uf traip;;0,29;0,18;1,0;0,19;1,0;1,0
2557;vngefraget niht belaip;vngefraget doh niht belæip;Ane vrage dis niht belaip;;0,19;0,32;1,0;0,31;1,0;1,0
2558;ob er geneſen were oder wie;Ob er geneſen wære od͛ wie;Ob er geneſe waͤre vnd wie;;0,15;0,3;1,0;0,23;1,0;1,0
2559;nv uerſwaik div houſvrowe nie;nu v͛ſwæig ez div houſfrowe nie;Div huſvroͮwe v͛ſwaig ſi do nie;;0,32;0,74;1,0;0,77;1,0;1,0
2560;vm ain wort dar an;wider einem worte dar an;Gen ainem worte her an;;0,38;0,36;1,0;0,29;1,0;1,0
2561;wie ſi div ſalbe gewan;wie ſi die ſalben gewan;Wie ſi die ſalbe gewan;;0,09;0,09;1,0;0,09;1,0;1,0
2562;Do baten die ſchachere;Nv baten die ſchahære;Do baton ſi die ſchachaͤre;;0,18;0,23;1,0;0,35;1,0;1,0
2563;ob ſi ir vaile were;ob ſi ir væile wære;Ob ſi in vaile ware;;0,11;0,16;1,0;0,21;1,0;1,0
2564;daʒ ſi ir in gebe vm ir habe;Si gebe ſei in vn̄ næm ir habe;Dc ſi in gaͤbe umb al ir habe;;0,53;0,45;1,0;0,63;1,0;1,0
2565;ſi ſprach wendet ivch dar abe;ſi ſprach da wendet ivch abe;Si ſprach des willē weſent abe;;0,24;0,52;1,0;0,42;1,0;1,0
2566;vn̄ gewinnet ſein nimm͛ muͦt;Vnt gewinnet des deheinen muͦt;Vnd lant Gaͤnʒlich den muͦt;;0,4;0,68;1,0;0,6;1,0;1,0
2567;daʒ dehein man ſo groʒ guͦt;daz dehæin man ſo groz guͦt;Ich waͤne ieman ſo groſſes guͦt;;0,11;0,45;1,0;0,48;1,0;1,0
2568;ʒe diſer werlde ie gewunne;Zeder werlde ie gwunne;An dirre welt ie gewnne;;0,19;0,35;1,0;0,48;1,0;1,0
2569;deſ ich vn̄ al min kunne;des ih vnt almein chvnne;Ob ich vnd alles min kuͥnne;;0,33;0,3;1,0;0,44;1,0;1,0
2570;immer ge reichet were;Immer geriͤcht wære;Da von gerichet waͤre;;0,29;0,48;1,0;0,48;1,0;1,0
2571;dar vm ich ir enbere;dar vmbe ih ir enbære;Dar umb ich ir enbare;;0,19;0,19;1,0;0,24;1,0;1,0
2572;fur war ich v͛ choufe ir niht;Wæiz got ihn v͛chovf ir niht;Ob got wil ich v͛koͮfe ir niht;;0,41;0,4;1,0;0,47;1,0;1,0
2573;ich wil ſwenne ſin durft geſchiht;ih wil ſwem ir durft geſchiht;Ich wil ſi han ſwem ir not beſchicht;;0,18;0,44;1,0;0,42;1,0;1,0
2574;den livtē friſten ir leben;Damit friſten ſein leben;Dc ich dem da mitte vriſte ſin lebē;;0,41;0,53;1,0;0,5;1,0;1,0
2575;durch in d͛ mit ſey hat gegeben;durh in d͛ nur ſi hat gegeben;Durch in der mir ſi hat gegeben;;0,19;0,19;1,0;0,19;1,0;1,0
2576;Div rede belaib ane haʒ;Die rede liezzen ſi ane haz;Dis lieſſent die ſchachman ane has;;0,41;0,56;1,0;0,56;1,0;1,0
2577;ſi iahen daʒ geuiele in baʒ;vnt iahen ez geviel in baz;Vn̄ ſprachen dc geviele in bas;;0,33;0,37;1,0;0,33;1,0;1,0
2578;ſw͛ herʒelait verſuochet hat;Swer hertzen læit v͛ſuchet hat;;;0,37;1,0;1,0;1,0;1,0;1,0
2579;vn̄ rehte waiʒ wie nahen eʒ gat;vn̄ rehte wæiz wie nahen ir gat;;;0,13;1,0;1,0;1,0;1,0;1,0
2580;mit dem wil ich erʒivgen daʒ;Mit dem wil ih erzivgen daz;;;0,14;1,0;1,0;1,0;1,0;1,0
2581;ainem ſey mit frevden baʒ;daz einem ſei mit vrivden baz;;;0,28;1,0;1,0;1,0;1,0;1,0
2582;der æ laideſ was gewone;Der vngemaches iſt gewon;;;0,54;1,0;1,0;1,0;1,0;1,0
2583;danne ienem d͛ da vone;denne ienen d͛ da von;;;0,14;1,0;1,0;1,0;1,0;1,0
2584;nie dehein arbait;Nie dehæin arbæit;;;0,18;1,0;1,0;1,0;1,0;1,0
2585;ſo vil als vm ain har erlait;ſo vil ſo in einem trovm erlæit;;;0,45;1,0;1,0;1,0;1,0;1,0
2586;;Daz diſem ein ſenfte wære;alſ do die ſchachaͤre;;1,0;1,0;1,0;0,68;1,0;1,0
2587;;dem riwe vn̄ hertzen ſwære;Ir groſſen herʒe ſwaͤre;;1,0;1,0;1,0;0,58;1,0;1,0
2588;;Trovren vnt ſenen git;;;1,0;1,0;1,0;1,0;1,0;1,0
2589;;daz dovhte ienen ein h͛tiv zit;;;1,0;1,0;1,0;1,0;1,0;1,0
2590;;Dem nie niht læides geſchah;;;1,0;1,0;1,0;1,0;1,0;1,0
2591;;wand er gemach fvr vngemah;;;1,0;1,0;1,0;1,0;1,0;1,0
2592;;Im eniſt wol noh we;;;1,0;1,0;1,0;1,0;1,0;1,0
2593;;ſvs priͤſ ih ſeine vrivde me;;;1,0;1,0;1,0;1,0;1,0;1,0
2594;;Der zemazze chumb͛ læidet;;;1,0;1,0;1,0;1,0;1,0;1,0
2595;;danne den er gar vermæidet;;;1,0;1,0;1,0;1,0;1,0;1,0
2596;daʒ ſchain an dem wirte hie;Daz ſchæin andiſem geſellē hie;;;0,42;1,0;1,0;1,0;1,0;1,0
2597;vn̄ an den geſten do ſie;vn̄ an dem wirte do ſie;;;0,21;1,0;1,0;1,0;1,0;1,0
2598;ir lait vberwunden;Ir iamer vb͛ wunden;So gahes wrdent enbunden;;0,37;0,62;1,0;0,58;1,0;1,0
2599;vor frevden ſi enchunden;vor frivden ſine chunden;Si moͤhten noch enkunden;;0,12;0,58;1,0;0,62;1,0;1,0
2600;noch weſten wie gebaren;Noch enweſſen wie gebaren;Noch wiſſen wie ſo ſolten gebaren;;0,16;0,39;1,0;0,39;1,0;1,0
2601;als trourich ſi æ waren;alſo trovrich ſi e waren;Alſ truric ſi e waͤren;;0,17;0,26;1,0;0,25;1,0;1,0
2602;wol touſent ſtunt ſo fro;Wol hunderſtunt als vro;Hund͛ſtunt alſo vro;;0,5;0,54;1,0;0,39;1,0;1,0
2603;wurden ſi irs gelucheſ do;wurden ſi ir gelvkes do;Wrdent ſi aber do;;0,2;0,56;1,0;0,52;1,0;1,0
2604;Nu ſchiedē ſich die ſchachman;Nv ſchieden ſih die ſchahman;Do ſchiedent ſich die ſchachman;;0,13;0,13;1,0;0,16;1,0;1,0
2605;der wirt belaip ſi cherten dan;d͛ wirt belæip iene ch͛ten dan;Ain͛ hin der and͛ dan;;0,3;0,7;1,0;0,67;1,0;1,0
2606;Ainer her der ander hin;Einer her der ander hin;Si wrbent vaſte umb gewin;;0,04;0,76;1,0;0,76;1,0;1,0
2607;vn̄ wurfen vmbe gewin;ſi wrfen vmbe den gewin;Dc riet in h͛ʒe vn̄ ir ſin;;0,35;0,77;1,0;0,65;1,0;1,0
2608;Auer fleizzechlich als æ;Vleizchlichen als e;Si tatent do reht alſ oͮch e;;0,46;0,86;1,0;0,79;1,0;1,0
2609;vn̄ was ir ahte immer mæ;vn̄ was ir ahte imm͛ me;Nu fliſſen ſi ſich iemerme;;0,12;0,73;1,0;0,73;1,0;1,0
2610;daʒ beſte daʒ ſi funden;Daz beſte daz ſi funden;Dc beſte dc ſi funden;;0,13;0,22;1,0;0,17;1,0;1,0
2611;vn̄ erdenchen chunden;vn̄ des ſi erdenchen chunden;Ald erdenken kunden;;0,25;0,33;1,0;0,46;1,0;1,0
2612;daʒ deſ wirtes eren tohte;Daz zewirtes eren tochte;Das ʒe des wirtes eron tohte;;0,24;0,21;1,0;0,32;1,0;1,0
2613;vn̄ div vrowe gewilligen mohte;vn̄ in gewilligen mochte;Vnd oͮch gewillegon mohte;;0,3;0,4;1,0;0,36;1,0;1,0
2614;div der ſalben phlak;Div hovſfrowe div der ſalbē phlac;Die vroͮwn die der ſalben phlag;;0,47;0,42;1,0;0,29;1,0;1,0
2615;ſi prahten ir fur den tak;deſ brachten ſi ir fvr den tac;Des gaben ſi ir fuͥr den tag;;0,33;0,43;1,0;0,33;1,0;1,0
2616;guͦtes ovʒ der maʒʒe vil;Genuc vnt ouz der mazze vil;Vs der maſſe vil;;0,44;0,46;1,0;0,56;1,0;1,0
2617;ob eʒ queme oͮf daz ʒil;ob ez in chome an daz zil;Ob kaͤme uf das ʒil;;0,44;0,43;1,0;0,56;1,0;1,0
2618;daʒ ir denkeiner wurde wunt;Vnt ir dehæiner wurde wunt;Dc ir dekain͛ wrdi wnt;;0,22;0,37;1,0;0,38;1,0;1,0
2619;daʒ ſi in machte geſunt;daz ſi in machete geſvnt;Das ſi den macheti geſunt;;0,12;0,24;1,0;0,24;1,0;1,0
2620;als gaheſ ſam iren man;Vnt in hæilte als ir man;Alſ gaͤhes alſ da vor ir man;;0,67;0,5;1,0;0,61;1,0;1,0
2621;daʒ triben ſi vnʒ ſi gewan;daz triben ſi vntz ſi gewan;Dis tribent ſiv unʒ ſi gewan;;0,11;0,21;1,0;0,29;1,0;1,0
2622;von guͦte ſolich reicheit;Ere vnt reichæit;Von guͦte michel richait;;0,6;0,32;1,0;0,62;1,0;1,0
2623;daʒ ane ſilber vn̄ ane chlait;ir vletze daz e waſ belæit;Ir vleʒʒe dc e wc beſprait;;0,72;0,76;1,0;0,42;1,0;1,0
2624;;Mit tæken bei dem fivre;Mit raͤchen bi dem fuͥre;;1,0;1,0;1,0;0,33;1,0;1,0
2625;;da ſtracten nv vil tivre;Da lagent pfeller tuͥre;;1,0;1,0;1,0;0,67;1,0;1,0
2626;;Phelle vnde dar vnder;Vnd wund͛ tepit beſprait;;1,0;1,0;1,0;0,88;1,0;1,0
2627;;tepich daz nieman fvnde;Dc man vō groſſer richait;;1,0;1,0;1,0;0,92;1,0;1,0
2628;ir peder keminaten;Deheineſ fvrſten chemnaten;In dekaines fuͥrſtē kaͤmenatē;;0,62;0,69;1,0;0,59;1,0;1,0
2629;furſtlich waren beraten;mit wæte baz beraten;kunde vinden bas beraten;;0,57;0,58;1,0;0,46;1,0;1,0
2630;ir wente vn̄ ouch ir ſtangen;Ir wende vnt ir ſtangen;Ir wende vn̄ ir ſtangen;;0,29;0,25;1,0;0,04;1,0;1,0
2631;waren alſo behangen;die ſchinen alſo bevangen;Warent ſo behangen;;0,4;0,21;1,0;0,52;1,0;1,0
2632;daʒ man ir wenik plechen ſach;Daz man ir wenic plecchen ſach;Das man ir wenic bloſſe ſach;;0,13;0,28;1,0;0,23;1,0;1,0
2633;ſwaʒ ir der eren æ gebrach;ſwaz ir der eren gebrach;Swc in der eron e gebrach;;0,12;0,23;1,0;0,28;1,0;1,0
2634;wie gar ſi deſ ver gaʒ;Wie ſchone ſi nv deſ v͛gaz;Vil ſchoͤne ſi des nu uergas;;0,54;0,57;1,0;0,46;1,0;1,0
2635;eʒ wart nie herberge baʒ;ez wart herb͛ge nie baz;Es wart nie herberge bas;;0,46;0,12;1,0;0,5;1,0;1,0
2636;vergolten von einem gaſte;V͛golten von eime gaſte;V͛golten von ainem gaſte;;0,2;0,16;1,0;0,12;1,0;1,0
2637;ſich gepeʒʒert vaſte;ſich bezzerte vaſte;Sich beſſorot vaſte;;0,3;0,4;1,0;0,32;1,0;1,0
2638;ir dinch aller tegilich;Ir dinc aller tægleich;Ir dink aller taͤgelich;;0,22;0,26;1,0;0,22;1,0;1,0
2639;ſi wurden ſelich vnde reich;ſi wurden ſælic vnde reich;Si wrdent ſaͤlic vnd rich;;0,07;0,3;1,0;0,27;1,0;1,0
2640;Do ditʒ was ergangen ſo;Ez was ergangen alſo;do dis wc ergangen ſo;;0,39;0,22;1,0;0,43;1,0;1,0
2641;nv chomen von egypto I;nv chom von egipto;Do wc oͮch von egẏpto;;0,23;0,45;1,0;0,41;1,0;1,0
2642;oſeph ouf die heide;Ioſep vber die heide;Ioſeph komen wid͛ uf die haide;;0,3;0,4;1,0;0,47;1,0;1,0
2643;vn̄ vant die wegeſchaide;vnt vant die wegſcheide;Vnd uant die wegſchide;;0,12;0,21;1,0;0,17;1,0;1,0
2644;da d͛ ſteik von der ſtraʒʒe gie;Da der ſteic von der ſtraze gie;Da der ſtik hin ab gie;;0,19;0,52;1,0;0,42;1,0;1,0
2645;er ſprach mich dunchet daz hye;er ſprach mich dvnchet daz hie;Er ſprach mich dunket des dc hie;;0,07;0,28;1,0;0,28;1,0;1,0
2646;vnſers wirtes houſ ſte;Vnſers wirteſ hovs ſte;Vͥnſers wirtes hus ſte;;0,18;0,18;1,0;0,18;1,0;1,0
2647;der weilen æ;der vns weilen e;Der ivns ſo ivbellichen e;;0,31;0,68;1,0;0,48;1,0;1,0
2648;mit ſo groʒʒem ʒorne enphie;Mit ſo grozzem zorne enphie;In ſinem huſe enpfie;;0,15;0,56;1,0;0,56;1,0;1,0
2649;vn̄ vnſ doch minnechlichen lie;vnt ſeit ſo minnechleichen lie;Vnd ivnſ ſo guͤtlichen lie;;0,3;0,43;1,0;0,47;1,0;1,0
2650;ich rate daz wir cheren dar;Ich rate daz wir cheren dar;Ich rate dc wir keren dar;;0,04;0,19;1,0;0,15;1,0;1,0
2651;ſehen vn̄ nemen war;geſehen in vnt nemen ovch war;Geſehen in vn̄ nemen war;;0,38;0,21;1,0;0,24;1,0;1,0
2652;wie vnſer houſvrowe lebe;Wie vnſer hovſfrowe lebe;Ob ivnſer huſvroͮwe lebe;;0,12;0,25;1,0;0,33;1,0;1,0
2653;daʒ in got paiden ſelde gebe;daz got in bæiden ſælde gebe;Dc ir got ſaͤlde vn̄ ere gebe;;0,36;0,45;1,0;0,62;1,0;1,0
2654;ez wart vnſ wol erboten von in;ez wart vns wol enboten von in;Wir wrden wol beraten vō in;;0,07;0,4;1,0;0,43;1,0;1,0
2655;ʒehant chert er mit rat da hin;alſo chert er nah rate hin;Nu fuͦrent ſi den weg hin;;0,4;0,7;1,0;0,65;1,0;1,0
2656;vn̄ vant dē wirt da hAyme;ER vant den wirt da hæime;Vnd fundent den wirt da haime;;0,23;0,34;1,0;0,31;1,0;1,0
2657;man gehorte nie vō denhayme;nv frieſchet ir nie von d͛hæime;Ir geſahent nie von enhaime;;0,58;0,39;1,0;0,42;1,0;1,0
2658;wirte geſte enphahen paʒ;wirte geſte enphahen baz;Wirte geſt enpfangen bas;;0,08;0,29;1,0;0,25;1,0;1,0
2659;er floch niht hinden ouʒ durch daʒ;ern vloch niht hinden vͦz durch daz;Er vloch niht hin dan durch das;;0,17;0,26;1,0;0,26;1,0;1,0
2660;Als nv iſt manigeſ mannes ſit;So nv iſt maniges wirtes ſit;Alſ nu iſt genuͦg͛ wirte ſitte;;0,28;0,5;1,0;0,43;1,0;1,0
2661;daʒ man in het da mit;daz man in hete da mit;Dc ſi den geſten da mitte;;0,09;0,56;1,0;0,52;1,0;1,0
2662;die herberge verſait;Die herberge verſæit;Div h͛berge wrdi uerſait;;0,1;0,42;1,0;0,42;1,0;1,0
2663;er was in willik vn̄ berait;er was in billich vn̄ geræit;Er wc in willig vnd berait;;0,18;0,19;1,0;0,32;1,0;1,0
2664;daʒ lieʒ er werden ſchein;Vnt lie daz wol werden ſchein;Es wart an in wol ſchin;;0,34;0,64;1,0;0,62;1,0;1,0
2665;er ſprach liebiv vrowe min;er ſp̃ch h͛re vnt libiv frowe mein;E͛ ſp̃ch h͛re vn̄ liebiͮ vroͮwe min;;0,41;0,43;1,0;0,23;1,0;1,0
2666;vn̄ du vil ſæligeſ kint;vnt dv vil ſæligez chint;Vnd ivw͛ ſaͤliges kint;;0,21;0,43;1,0;0,5;1,0;1,0
2667;vn̄ alle die mit iv ſint;vnt alle die mit iv hie ſint;Vnd alluͥ die hie mit iv ſint;;0,18;0,28;1,0;0,34;1,0;1,0
2668;ſeit mir vn̄ gote willechomen;Nv ſeit ir got willechom;Div ſigent Gotte willekomen;;0,38;0,41;1,0;0,52;1,0;1,0
2669;vn̄ ſchaffet ſelbe evren frumen;vnt ſchaffet ivren frvm;Nu ſchaffen ſelb ivwern vromē;;0,35;0,35;1,0;0,5;1,0;1,0
2670;vber alle mine habe;Gewaltichleih vber mein habe;Swie ir gebietent ivb͛ mine habe;;0,61;0,56;1,0;0,59;1,0;1,0
2671;des get ev niemen abe;des enget iv wæizgot niht abe;Des gat iv benamen nieman abe;;0,45;0,41;1,0;0,52;1,0;1,0
2672;gebietet vb͛ minen leib;vnt gebietet vb͛ mein leip;Dar ʒuͦ ivb͛ min ſelbes lip;;0,31;0,63;1,0;0,7;1,0;1,0
2673;dar ʒvͦ min chint vn̄ min weip;dar zv chint vnt weip;Minvͥ kint vnd min wip;;0,37;0,47;1,0;0,64;1,0;1,0
2674;ſulen ev weſen vndertan;die ſvlen iv weſen vnder tan;Sont iv iem͛ ſin vnd͛tan;;0,25;0,54;1,0;0,57;1,0;1,0
2675;daʒ wir nv guͦt vn̄ ere han;daz wir nu gut vn̄ ere han;Dc wir guͦt vn̄ ere han;;0,11;0,22;1,0;0,27;1,0;1,0
2676;ich min wip min chint div;Iwer æigen chnecht vn̄ iwer div;Aigene kneht vnd aige duͥ;;0,68;0,8;1,0;0,52;1,0;1,0
2677;des iehe wir nieman wan ev;des eniehe wir nieman wan vō iv;Des iehen wir vō nieman wan vō iv;;0,22;0,31;1,0;0,23;1,0;1,0
2678;Nv wol her ruͤben andaʒ gras;Nv wol her rvwen an daz gras;Nu wol h͛ ſiʒʒen an dc gras;;0,18;0,36;1,0;0,32;1,0;1,0
2679;wie wunnechlich der garte was;ſwie wnnechlichen d͛ garte was;Swie ſchoͤne ſo d͛ hof was;;0,2;0,66;1,0;0,57;1,0;1,0
2680;von dem ir æ hortet ſagen;Da von ir e hort ſagen;Da von ir mich e hortont ſagen;;0,36;0,4;1,0;0,27;1,0;1,0
2681;da wurden pette in getragen;da wurden bette in getragen;Da wrdent bette in getragen;;0,04;0,15;1,0;0,11;1,0;1,0
2682;mit phelleinen ʒiechen;Mit phellein ziechen;von pfellor die ʒiechan;;0,18;0,48;1,0;0,48;1,0;1,0
2683;ſo guͦt daʒ nie von chriechen;ſo gut daz nie von chriechen;Das da vor von krichen;;0,07;0,48;1,0;0,46;1,0;1,0
2684;peʒʒer chomen vor der ʒeit;Dehæin bezzer chom vor d͛ hit;Nie beſſer kam vor der ʒit;;0,55;0,5;1,0;0,45;1,0;1,0
2685;sigelar vn̄ sameit;ſigelat vn̄ ſamit;ʒendat vnd ſaͤmit;;0,22;0,56;1,0;0,41;1,0;1,0
2686;ſtrevte man fur daʒ ſtro;Strivt man da nider fvr ſtro;Stroͮte man da nid͛ fuͥr ſtro;;0,46;0,48;1,0;0,24;1,0;1,0
2687;d͛ wirt was ſiner geſte fro;der wirt was ſeiner geſte vro;Der wirt wc der geſte vro;;0,14;0,33;1,0;0,24;1,0;1,0
2688;wie moht daʒ werden geſeit;Waz tochtez allez beræit;ob ich iv nu rehte ſaite;;0,65;0,73;1,0;0,79;1,0;1,0
2689;was da wurde gereit;vnt beſunder geſæit;Vnd ivch des gar beraite;;0,58;0,67;1,0;0,62;1,0;1,0
2690;mit welhen worten vn̄ wie;Mit welhen worten vnt wie;Mit welen worten vn̄ wie;;0,08;0,08;1,0;0,08;1,0;1,0
2691;div houſvrowe enphie;div hovſfrowe ir geſte enphie;Div huſuroͮwe ir geſt enpfie;;0,38;0,46;1,0;0,24;1,0;1,0
2692;;;So wrde des maͤres ʒe vil;;1,0;1,0;1,0;1,0;1,0;1,0
2693;;;Da von ich iv es kuͥrʒen wil;;1,0;1,0;1,0;1,0;1,0;1,0
2694;ir geſte ir minnechliches grueʒʒen;Wan minnechliche grvze;Mit minneclichem gruͤʒen;;0,5;0,41;1,0;0,38;1,0;1,0
2695;chunde ſi mit rede ſueʒʒen;manige vnt vil ſvze;Mengen vn̄ ſuͤʒen;;0,73;0,65;1,0;0,63;1,0;1,0
2696;des vrowen wunder chunden;Der die froͮwen wrder chunnen;;;0,38;1,0;1,0;1,0;1,0;1,0
2697;dem ſi wol guͦteſ gunnen;wider die den ſi gvtes gunnen;;;0,48;1,0;1,0;1,0;1,0;1,0
2698;der bot ſi in genuͦk;Der boͤt ſi in vil vnt genuͤc;Der bot ſi vſſer der maſſe vil;;0,41;0,6;1,0;0,6;1,0;1,0
2699;wan ſi in holdeſ herʒe truͦk;wan ſi in vil holdez herce truͤc;Fuͥr war ich iv dc ſagon wil;;0,25;0,86;1,0;0,81;1,0;1,0
2700;Nv was div kurʒeweile groz;Hie was div chvrzwæile groͤz;Oͮch kurʒete in die ſtunde;;0,36;0,85;1,0;0,89;1,0;1,0
2701;uil luʒel iemen des ver droʒ;wie lvzel iemen da verdroz;Der wirt ſo er beſte kunde;;0,29;0,79;1,0;0,85;1,0;1,0
2702;wan ſi ſaget in mere;Wan ſi ſæiten mære;;;0,35;1,0;1,0;1,0;1,0;1,0
2703;ſwaʒ nutʒe vn̄ ſagebere;ſwaz nvtz vnt ſagwære;;;0,35;1,0;1,0;1,0;1,0;1,0
2704;vn̄ ʒewizʒen guͦt was;Vnt guͦt zwizzen was;;;0,67;1,0;1,0;1,0;1,0;1,0
2705;vn̄ wie der wunde wirt genas;wie er wunt wart vn̄ wie er genas;;;0,58;1,0;1,0;1,0;1,0;1,0
2706;;Div mære ſæit der wirt;Mit mengem froͤmdem maͤre;;1,0;1,0;1,0;0,64;1,0;1,0
2707;;als ir da vor bewæiſet birt;Dc im beſchehen ware;;1,0;1,0;1,0;0,74;1,0;1,0
2708;Der gaſt in vollichlichen galt;Der gaſt im vollechlæichen galt;Der gaſt im willeclichen galt;;0,1;0,17;1,0;0,13;1,0;1,0
2709;mit wundern alſo manikvalt;mit wund͛n alſo manic valt;Mit wndern vil maͤnigwalt;;0,15;0,35;1,0;0,46;1,0;1,0
2710;die ouch im geſchachen;Div ouch im geſchahen;Div oͮch im warent beſchehen;;0,14;0,46;1,0;0,36;1,0;1,0
